"id","Type","Date","Distance","Moving Time","Name","Avg HR","Norm Power","Intensity","Load","FTP","Activity eFTP","Start Time","Avg Power","eFTP","GAP","Resting HR","RPE"
"i165961646","Ride","2026-07-15T07:32:57",28765.779296875,3265,"Cambridge Road Cycling",176,219,84.55598449707031,65,259,209,1970-01-01T07:32:57.000-05:00,197,249,,48,7
"i165600632","Run","2026-07-14T06:50:30",9678.650390625,2980,"Cambridge Running",158,,73.42353057861328,45,,,1970-01-01T06:50:30.000-05:00,,,3.2627556324005127,47,2
"i165123493","Ride","2026-07-12T13:53:10",59638.078125,7150,"Cambridge Road Cycling",152,204,78.76448059082031,123,259,237,1970-01-01T13:53:10.000-05:00,179,249,,50,3
"i164832468","Ride","2026-07-11T12:39:17",45224.41015625,5994,"Cambridge Road Cycling",142,190,73.35906982421875,90,259,226,1970-01-01T12:39:17.000-05:00,159,249,,51,3
"i164438554","Run","2026-07-10T06:28:01",17746.310546875,5727,"Cambridge Running",159,,73.66271209716797,87,,,1970-01-01T06:28:01.000-05:00,,,3.1227755546569824,47,3
"i164169880","Ride","2026-07-09T07:22:51",29180.080078125,3300,"Cambridge Road Cycling",173,236,91.11968994140625,76,259,219,1970-01-01T07:22:51.000-05:00,218,250,,47,7
"i163845476","Run","2026-07-08T06:50:31",9780.5703125,3014,"Cambridge Running",153,,69.4970703125,41,,,1970-01-01T06:50:31.000-05:00,,,3.267693519592285,48,3
"i163507573","VirtualRide","2026-07-07T06:47:54",32695.740234375,3644,"Zwift - Maggie Erwin's Meetup on Douce France in France",162,206,79.53668212890625,64,259,204,1970-01-01T06:47:54.000-05:00,179,250,,47,
"i163507649","VirtualRide","2026-07-07T06:47:48",27485.560546875,3372,"Indoor Cycling",161,205,79.15058135986328,59,259,205,1970-01-01T06:47:48.000-05:00,180,250,,47,8
"i162906857","TrailRun","2026-07-05T08:12:01",9742.240234375,3122,"Tamworth Trail Running",158,,73.9366226196289,48,,,1970-01-01T08:12:01.000-05:00,,,3.1306049823760986,51,6
"i162731351","TrailRun","2026-07-04T12:41:14",11267.490234375,5068,"Moultonborough Trail Running",147,,64.9182357788086,64,,,1970-01-01T12:41:14.000-05:00,,,2.545830726623535,52,5
"i162487234","Hike","2026-07-03T12:02:24",11424.8203125,10880,"Coos County Hiking",108,,34.36204528808594,55,,,1970-01-01T12:02:24.000-05:00,,,,50,
"i162075146","Run","2026-07-02T07:19:00",14564.2099609375,4683,"Cambridge Running",161,,74.94463348388672,74,,,1970-01-01T07:19:00.000-05:00,,,3.1278815269470215,50,6
"i161771377","Ride","2026-07-01T07:33:26",29139.220703125,3267,"Cambridge Road Cycling",173,231,89.1891860961914,72,259,227,1970-01-01T07:33:26.000-05:00,205,252,,47,6
"i161470350","Run","2026-06-30T06:49:36",9788.9404296875,3040,"Cambridge Running",152,,68.44304656982422,40,,,1970-01-01T06:49:36.000-05:00,,,3.2442948818206787,49,3
